sent1,sent2,lemma,ground_truth
"My great grandmother , I have been told , made her garden her great pride ; she cherished rare and delicate plants like oleanders in tubs and wall-flowers and lemon verbenas in pots that had to be wintered in the cellar ; she filled the waste spots of the yard with common things like the garden heliotrope in a corner by the woodshed , and the plantain lilies along the west side of the house .",`` Johnny insisted on cooking a chicken dinner in my honor - he 's always been a good cook - and I 'll never forget him cleaning the chicken in the tub '' .,tub,F
The car was approaching fast .,If you want a picture get to the corner of Adams and Clark just as fast as you can .,fast,T
"In spite of this catastrophe , the bridge was rebuilt on the same plan and opened again on July 17 , 1827 .","Hengesbach , who has been living on welfare recently , said he hopes to rebuild the farm which was settled by his grandfather in Westphalia , 27 miles southwest of here .",rebuild,T
Was it possible that as people grow older the nature of time changed ?,"`` People automatically assume that I 'm in college '' , a nineteen year old machinist observed irritably .",people,T
"With sudden energy , she went to the phone and rang Holden 's office and asked for him .","When the telephone rang on the day after Hino went down to the village , Rector had a hunch it would be Hino with some morsel of information too important to wait until his return , for there were few telephones in the village and the phone in Rector 's office rarely rang unless it was important .",phone,T
These droplets are distorted by the normal forces just as a balloon would be pulled or pressed out of shape in one 's hands .,Just like the balloon would go up and you could sit all day and wish it would spring a leak or blow to hell up and burn and nothing like that would happen .,balloon,T
"I called the other afternoon on my old friend , Graves Moreland , the Anglo-American literary critic - his mother was born in Ohio - who lives alone in a fairy-tale cottage on the Upson Downs , raising hell and peacocks , the former only when the venerable gentleman becomes an angry old man about the state of literature or something else that is dwindling and diminishing , such as human stature , hope , and humor .",My host went over and stared out the window at his peacocks ; then he turned to me .,peacock,T
"Oversized monsters are never brought home either alive or preserved , and field measurements are obviously open to doubt because of the universal tendency to exaggerate dimensions .","A number of other nineteenth century developments contributed to the transmutation of the law of nations into international law ; that is , from aspects of a universal system of Justice into particular rules governing the relations of sovereign states .",universal,T
"As Mr. Palmer was educated to house-building only , and had never seen a structure of this nature ; he certainly deserves not a little credit for the invention '' .","The film was called The Diet of Worms , which I felt was just what Letch deserved .",deserve,T
"It got the kind of scrambled , coarsened performance that can happen to best of orchestras when the man with the baton lacks technique and style .","His best years were 1954 when he hit .345 with 41 homers and '55 when he belted 51 home runs , drove in 127 and stole 24 bases .",best,T
The many and frequent performances of the Trout serve to emphasize the dual nature of its writing .,Severe headaches were frequent .,frequent,T
Hence it is difficult to conceive of a packing of the atoms in this material in which the oxygen atoms are far from geometrical equivalence .,"Nothing in all the preceding years had had the power to bring me closer to a knowledge of profound sorrow than the breakup of camp , the packing away of my camp uniforms , the severing of ties with the six or ten people I had grown most to love in the world .",packing,T
"Very recently , observations have been made at 8 - mm wave length with a reflector 22 meters in diameter with a resultant beam width of only about 2 ' ( Amenitskii , Noskova , and Salomonovich , 1960 ) .","The Air Force's , and the game 's , final play , was a long pass by quarterback Bob McNaughton which Gannon intercepted on his own 44 and returned 22 yards .",22,T
This may be because the Athabascan divergence began earlier ; or again because the Athabascan languages spread over a very much larger territory ( including three wholly separated areas ) ; or both .,"For Athabascan , with a greater range of stems , the first two of five corresponding columns were identical , 1 and 2 stems ; the three others had to be spread somewhat , and are headed respectively * * f ; * * f ; and * * f stems .",athabascan,T
It came again and again .,"Mauve colored mouths that had never known anything sweeter than the taste of new wine and the passion of man 's tongue had not smiled , but had condemned again and again .",again_and_again,T
"Because his mind had been otherwise occupied for the past couple of hours , he did not think to look and see if Jerry Burton 's car was still there .",The last couple of years the Bears management got the business from the `` Living Room Athletic Club '' when games were cut off .,couple,F
Thereafter seed and food became more plentiful and the colony remained in the north the year round .,"This behavior is more `` veridical '' - or true than other testing behavior for some types of evaluation , and so can give quick and accurate estimates of complex functioning .",more,F
"To be sure , in tool-and-die work and in the building trades , the first job must be often on an apprentice basis , but two years of halftime vocational training enables the young man thus to anticipate one year of apprentice status .","After only eighteen years of non-interference , there were already indications of melioration , though `` in a slight degree '' , to be sure .",to_be_sure,F
"There are authorized to be appropriated such sums , to remain available until expended , as may be necessary , but not more than $ 75000000 in all , ( a ) to carry out the provisions of this Act during the fiscal years 1962 to 1967 , inclusive ; ( b ) to finance , for not more than two years beyond the end of said period , such grants , contracts , cooperative agreements , and studies as may theretofore have been undertaken pursuant to this Act ; and ( c ) to finance , for not more than three years beyond the end of said period , such activities as are required to correlate , coordinate , and round out the results of studies and research undertaken pursuant to this Act : Provided , That funds available in any one year for research and development may , subject to the approval of the Secretary of State to assure that such activities are consistent with the foreign policy objectives of the United States , be expended in cooperation with public or private agencies in foreign countries in the development of processes useful to the program in the United States : And provided further , That every such contract or agreement made with any public or private agency in a foreign country shall contain provisions effective to insure that the results or information developed in connection therewith shall be available without cost to the United States for the use of the United States throughout the world and for the use of the general public within the United States .","The Secretary of the Treasury is authorized and directed out of the sums covered into any of the funds pursuant to subsection ( b ) of this section , and after making the deduction provided for in section 7 ( b ) of this Title -",pursuant,F
"Procreation , expansion , proliferation - these are the laws of living things , with the penalty for not obeying them the ultimate in punishments : oblivion .","Furthermore , a bad check may subject the maker to certain penalties .",penalty,T
"Other examples of gradual changes that have affected the Negro have been his moving up , row by row , in the busses ; his requesting , and often getting , higher wages , better working conditions , better schools - changes that were slowly emerging even before the Supreme Court decision of 1954 .","Through the SBA 's Management Counseling Program , practical , personalized advice on sound management principles is available upon request to both prospective and established businessmen in a community .",request,F
"Sometimes , you have a choice of exposure for sites where the topography or trees of the area will provide afternoon shade , morning sun , or whatever may be most desirable for the use intended .",Determine how much topography limits useful area or what the costs of earth moving or grading might be .,topography,T
"Telegraphers at the Depot at this time were Aaron C. Burr and Mark Manley of `` Burr and Manley '' , dealers in lumber and dry goods .","In 1846 Matthew B. Goodwin , jeweler and watchmaker , became the town 's first telegrapher in a dwelling he built for himself and his business `` two doors north of the Equinox House '' or `` one door north of the Bank , Manchester , Vermont '' .",telegrapher,T
An Alabamian wrote : `` Col. Henry is [ an ignoramus ] fit for nothing higher than the cultivation of corn '' .,"They had already lost most of their corn , she thought .",corn,F
"At the same time the multiple transvestitism involved - the fat man as girl and as baby , as coquette pretending to be a baby - touches for a moment horrifyingly upon the secret sources of a life like Jacoby 's , upon the sinister dreams which form the sources of any human life .","His name is Praisegod Piepsam , and he is rather fully described as to his clothing and physiognomy in a way which relates him to a sinister type in the author 's repertory - he is a forerunner of those enigmatic strangers in `` Death in Venice '' , for example , who represent some combination of cadaver , exotic , and psychopomp .",sinister,F
For him to ignore the political consequences involved in an Atlantic Union of this kind is difficult to understand .,He ignores guidebook facts .,ignore,T
Sports Writer Ensign Ritchie of the Ogden Standard Examiner went to his compartment to talk with him .,"When she succeeds , she usually manages to slip in unobtrusively , to deposit an egg on a completed loaf of beebread before the bumblebees seal the egg compartment .",compartment,T
Parents are often concerned that orthodontic appliances may cause teeth to decay .,There will come a time in a basement shelter when the radiation has decayed enough to allow use of the whole basement .,decay,F
"On Sundays he would walk miles into the campagna to visit with them , and in particular to see their horses .","I think you could have heard him a mile away , and he was bursting at every seam with importance .",mile,T
Why do we not realize that no ideology believes so much in itself as it disbelieves in something else ?,"All the ideologies changing from day to day , right under his eyes , so how could a man look to any one of them for an enlargement of his freedom ?",ideology,T
We must now show that on some component of the graph there exist two points for which the corresponding diagonal points in the C-plane are on opposite sides of C .,"We walked down the Rue de L ' Arcade , thence along beside the Madeleine and across to a sidewalk cafe opposite that church .",opposite,T
`` I reached into that funny little pocket that is high up on my dress .,"Linda Kay felt like going off to the bedroom to cry ; but they were going up to the Big House after supper , and she had to put on a clean dress and fix her hair a little .",dress,T
"He improvised as he went along , completing a life-size clay figure , then bought yards of an inexpensive material from a draper , wet the lightweight cloth in a basin and covered it over with clay that Argiento brought from the bank of the Tiber , to the consistency of thick mud .",She drank and pushed back her gingham bonnet to wet a kerchief and wipe her face .,wet,F
It gave them all a chance to make a high-speed climbing turn attack and a break-away that would not take them into the overcast or force a tight turn recovery .,Ludie took his slingshot and climbed to the rooftop to shoot at crows .,climb,T
"Each enjoys seeing the other hit home runs ( `` I hope Roger hits 80 '' , Mantle says ) , and each enjoys even more seeing himself hit home runs ( `` and I hope I hit 81 '' ) .","But if they really hoped to succeed they needed professionals , men who knew how to use a gun against men , who would match the killers on the other side .",hope,T
"On successive Sundays during October , 1960 , Paul Ferris ( a non-Catholic ) wrote articles in the Observer depicting clergymen of the Church of England , the Church of Rome and the Nonconformist Church .","Instead of Catholics ' being obliged or even encouraged to beget the greatest possible number of offspring , as many non-Catholics imagine , the ideal of responsible parenthood is stressed .",non-catholic,T
Detailed information on record lengths of the giants is given in the section that follows .,"The waves are separated by intervals of 15 minutes to an hour or more ( because of their great length ) , and this has often lulled people into thinking after the first great wave has crashed that it is all over .",length,F
"Determine for each State ( except the Virgin Islands , Guam , Puerto Rico , and , prior to 1962 , Alaska and hawaii ) , that percentage which bears the same ratio to 40 % as the particular State 's average per capita income bears to the average per capita income of the United States .","A well publicized entrant which has achieved success only recently is the built liquid detergent , with which the major problem today is incorporation of builder and active into a small volume using a sufficiently high builder / active ratio .",ratio,F
"Heading for the batwings , Cobb glanced perfunctorily through the nearest window , and suddenly dodged aside .","But Oso replied calmly , `` Trouble ai n't easy to dodge out in this country , rev ' rend '' .",dodge,T
"He stood stiffly erect , clutching the staff , his body half hidden by the limp cloth .",The third crawling man forced himself erect .,erect,T
You 'll probably get a ball bat on the head .,"Scherer also had a big night at bat with four hits in five trips including a double , Len Boehmer also was 4 - for - 5 with two doubles and Dave Ritchie had a home run and a triple .",bat,T
The perplexing question still remains as to why the middle classes turn to the churches as a vehicle of social identity when their clubs and charities should fill the same need .,"There are three principal feed bunk types for dairy and beef cattle : ( 1 ) Fence-line bunks - cattle eat from one side while feed is put in from the opposite side of the fence by self unloading wagons ; ( 2 ) Mechanized bunks - they sit within the feed lot , are filled by a mechanical conveyor above feeding surface ; ( 3 ) Special bunks - as discussed here , they permit cattle to eat from all sides .",fill,F
"Before Payne loomed the Old Clubhouse , Seward 's home , where Key had once been killed .","If you 're really serious about working on that story , I 'd better take you home '' .",home,T
"Using the strings that manipulate the puppet , suspend him from the light fixture by tying the strings to the lamp base .",She knows the power of the sex urge and how to use it to manipulate her husband .,manipulate,F
"In the area of private label competition , it is logical to expect a continuation of trends which have been under way during the first decade .","But now , under the guidance of the contemporary composer Marc Schlek , Jr. , a major revival is under way .",underway,T
"When the police arrived , they found McClellan and the two lawyers sitting and staring silently .",They stared at him .,stare,F
"After the first few weeks , it was obvious that rules had to be made , laid down and obeyed - even if our popularity ratings became subnormal as a result .","Not Louis / 15 , , since even he obeys .",obey,T
"It is not a medieval mental quirk or an attitude `` unnourished by sense '' to believe that husbands and wives should not be subjected to such a risk , or that such a possibility should not be permitted to endanger the confidentiality of the marriage relationship .","Now , under the impact of his wife 's disclosures , he was brought suddenly to the realization that there was a limit to tolerance , however brilliant , however far-famed the offender might be .",wife,F
"They offered no opinions , volunteered nothing , betrayed no emotions .",They are leaving so fast that the president of the West German Employers' Federation issued an appeal this week to factory workers in the West to volunteer for six months ' front-line work in factories in West Berlin .,volunteer,F
"So we had some dazzling and memorable Milstein , but not great Brahms .","This discovery of Melies was vastly more important than his sometimes dazzling , magician 's tricks produced on film .",dazzling,T
"It has come to mean myths , legends , tales , songs , proverbs , riddles , superstitions , rhymes and such literary forms of expression .","In time , these minor manifestations will multiply and effloresce , riddling you with frambesia , the king's evil , sheep rot , and clonic spasm , until your very existence becomes a burden and you cry out for release .",riddle,T
"`` That would be worse than useless '' , Alexander broke in .","This colt arrived at the Raceway early last November , and immediately was put into harness and line-driven for a few days , and then put to cart and broken in very nicely , knowing nothing but trot .",break_in,F
"The statement also points to a classic paradox : The more men turn toward God , who is not only in himself the paradigm of all unity but also the only ground on which human unity can ultimately be established , the more men splinter into groups and set themselves apart from one another .",He assumed he could blink the splinter out .,splinter,F
Hercule Poirot and Lord Peter Whimsey ( the respective creations of Agatha Christie and Dorothy Sayers ) have retained Holmes ' egotism but not his zest for life and eccentric habits .,"Speaking of his work with Johnny Mercer , Arlen says , `` Our working habits were strange .",habit,F
I even ferreted out the materials from which shields were made - linden wood covered with leather - so I 'd get the light reflections accurate .,"I have chosen to use the word `` mimesis '' in its Christian rather than its classic implications and to discover in the concrete forms of both art and myth powers of theological expression which , as in the Christian mind , are the direct consequence of involvement in historical experience , which are not reserved , as in the Greek mind , only to moments of theoretical reflection .",reflection,F
It was the low yield of the Selkirk plots and the ravages of grasshoppers in 1818 that led to the dispersal of the settlement southward .,"Seven hundred miles south of York Factory , at `` the Forks '' of the Red and the Assiniboine , twenty-three men located a settlement in August 1812 .",settlement,T
This would seem to fix the tax situs of all movable personal property at its location on December 31 .,"Jee - sus , We Fixed him !",fix,F
The small half-heartedly tended fields of men who 'd spent more time rustling cattle than farming were lying fallow .,The mere fact that the tall figure with the rifle and field glasses had been seen riding that way was enough to frighten three rustling homesteaders out of the Upper Laramie country in a single week .,rustle,F
"We want to know when the Potlatches telephone exactly how many they are planning to bring , so that we won n't end up with a splashing mob that looks like Coney Island in August .","Whatever his original assignment , the fictional private eye ends up by investigating and solving a crime , usually a murder .",end_up,T
"As mass dealer and distributor organizations grow in size , there is every reason to expect them to try to share in the manufacturer 's as well as the distributor 's profits - which is , in effect , what the sale of private brands tends to do .","Although it had seemed a good reason , to begin with : no couple could afford to have children .",reason,T
The moral aridity of merchants made them loyal usually to their ledgers .,"Where there is a left-hand entry in the ledger , there is a right-hand one , he remembered from his school days .",ledger,F
"A big car was approaching , its chrome teeth grinning .","Two cars came over a crest , their chrome and glass flashing .",chrome,F
"After the diagnosing , he left the course , convinced that it could do him no good .",Increasing threats on his life finally convinced Cook that he should leave New Mexico .,convince,F
utilize the facilities of Federal scientific laboratories ;,"assemble and maintain pertinent and current scientific literature , both domestic and foreign , and issue bibliographical data with respect thereto ;",scientific,F
Female individuals of Psithyrus look deceptively like the workers and queens of the bumblebees they victimize .,"Worse still , in a number of cases it has been claimed that the Psithyrus female kills off the Bombus queen .",psithyrus,F
"It removes our present expression and shows that the badness we meant would not be affected by this , whereas on positivist grounds it should be .","He saw the surprise in her face , and laughed as though it were the funniest expression he had ever seen .",expression,T
"This approach requires that : ( 1 ) each text word be separated into smaller elements to establish a correspondence between the occurrence and dictionary entries , and ( 2 ) the information retrieved from several entries in the dictionary be synthesized into a description of the particular word .","As was noted earlier , it is important that in valid , objective study of this sort of communication , the interested sitter should be separated from the sensitive .",separate,F
"This de-iodinating enzyme is effective against mono - and di-iodotyrosine , but does not de-iodinate thyroxine or tri-iodothyronine .",Besides proteolytic enzymes the thyroid possesses de-iodinating enzymes .,enzyme,T
The startled animal let out a terrified squeal and thrashed around in the stall .,And hit squealed for slop '' .,squeal,F
In this case also the design of the thermometer can be modified to reduce the helium film flow .,"From these results , one sees that the study of linear operators on vector spaces over an algebraically closed field is essentially reduced to the study of nilpotent operators .",reduce,T
"The owner of a public relations firm owed no income tax on payments he received from a client company and `` kicked back '' to the company 's advertising manager , the Tax Court ruled .","I had squeezed the trigger of my own gun , and to my amazement , it had fired and kicked back into my shoulder with the force of an angry mule ; and then I was adding my own voice to the crescendo of sound , hurling more vile language than I ever thought I knew , sobbing and shouting , and aware that if I had passed water before , it was not enough , for my pants were soaking wet .",kick_back,T
Turn the bastards over to me - to me and my boys - no nigger ever got what would be comin to them - reactionary bastards .,"I have no picture in my mind of the garden as a whole - that I could not see - but certain aspects of certain corners linger in the memory : wind-blown , frost-bitten , white chrysanthemums beneath a window , with their brittle brown leaves and their sharp scent of November ; ripe pears lying in long grass , to be turned over by a dusty slippered foot , cautiously , lest bees still worked in the ragged , brown edged holes ; hot colored verbenas in the corner between the dining-room wall and the side porch , where we passed on our way to the pump with the half gourd tied to it as a cup by my grandmother for our childish pleasure in drinking from it .",turn_over,F
Let his bones and his memory rest in the fifteenth century where they belong ; he is out of place in our times .,"Yes , we know , they 're professionals , men paid to play , and they should n't care how they 're handled , just as long as their names are spelled correctly on the first and fifteenth of each month .",fifteenth,T
Periodic bulletins of the accomplishment in each province made the registration process into a kind of competition among provincial officials .,"This nettled the children into the revelation of exact truth , a sacrifice of their secret superiority over grown people , but a victory in the wide fields of perpetration and illegitimate accomplishment .",accomplishment,T
You might try providing standard vacation time off but make the vacation pay depend on the number of hours worked in the previous year .,"I kept saying , `` If I could just build up a reputation for myself , make some real money , get to be well known as an illustrator - like Peter Askington , for instance - then I could take some time off and paint '' .",time_off,F
"Many companies have upgraded their sales manpower and tested new selling , distribution , and promotion techniques to gain a bigger competitive edge .",This tied in closely with the current attempt to upgrade state-owned cars to the extent that vehicles are not retained beyond the point where maintenance costs ( in light of depreciation ) become excessive .,upgrade,F
"a voice called , and what made it even more terrible and unreal was that the redcoat ranks never paused for an instant , only some of them glancing toward the stone wall , from behind which the voice came .","`` Gyp 'll be holdin ' forth in some bar if he 's here at all '' , Cobb declared , glancing along the street as they stretched their legs .",glance,F
On the second occasion it took prayers as well as reason to dissuade the soldiers from their purpose .,To the unfortunate people unable to attend the Godkin lectures it casts an unjustifiable aura of falsehood over the book which may dissuade some people from reading it .,dissuade,F
Thus the transformation of Adam Smith 's ideal entrepreneur into a mythological detective coincides closely with the decline of the real entrepreneur in economic life .,"In short , the fictional private eye is a specialized version of Adam Smith 's ideal entrepreneur , the man whose private ambitions must always and everywhere promote the public welfare .",entrepreneur,T
"The central area of the ground floor of a heavily constructed apartment building , with concrete floors , should provide more fallout protection than the ordinary basement of a family dwelling .",The shelter would provide almost absolute fallout protection .,protection,T
Daniel termed `` extremely conservative '' his estimate that it would produce 17 million dollars to help erase an anticipated deficit of 63 million dollars at the end of the current fiscal year next Aug. 31 .,"Traditionally , rates of pay for retired military personnel have been proportionate to current rates of pay for active personnel .",current,F
"Also , planetary gravitational attraction increases the dust concentration near the plane of the ecliptic as the sun is approached .",The maximum angular diameter of any planetary disk as observed from the earth is about 1 minute of arc .,planetary,T
"A borderline schizophrenic young man told me that to him the various theoretical concepts about which he had been expounding , in a most articulate fashion , during session after session with me , were like great cubes of almost tangibly solid matter up in the air above him ; as he spoke I was reminded of the great bales of cargo which are swung , high in the air , from a docked steamship .","As I have been intimating , in the schizophrenic - and perhaps also in the dreams of the neurotic ; this is a question which I have no wish to take up - condensation is a phenomenon in which one finds not a condensed expression of various feelings and ideas which are , at an unconscious level , well sorted out , but rather a condensed expression of feelings and ideas which , even in the unconscious , have yet to become well differentiated from one another .",schizophrenic,F
"It appears that the dominant tendency of Mann 's early tales , however pictorial or even picturesque the surface , is already toward the symbolic , the emblematic , the expressionistic .","We had nearly decided that all the tales of Lao lethargy must be true , when we were invited to take a trip with the Prime Minister .",tale,T
"They crowded him in that threatening way once more , forced him to give in .","Going downstairs with the tray , Winston wished he could have given in to Miss Ada , but he knew better than to do what she said when she had that little girl look .",give_in,T
"If your employer reimburses you for expenses incurred , you deduct such expenses if they otherwise qualify .","Tom Horn was soon back at work , giving his secret employers their money 's worth .",employer,T
"When informed as to the various possibilities of normal reactions , they were then able to experience the uniqueness of the present .","For example , when the film is only four minutes old , Neitzbohr refers to a small , Victorian piano stool as `` Wilhelmina '' , and we are thereupon subjected to a flashback that informs us that this very piano stool was once used by an epileptic governess whose name , of course , was Doris ( the English equivalent , when passed through middle Gaelic derivations , of Wilhelmina ) .",inform,T
`` Many minute hemorrhages in the lungs ; particles of lint and thread in the mouth and nostrils .,His eyes were threaded by little filaments of red as if tiny veins had burst and flooded blood into them .,thread,T
"In your sales force , will a smaller number of higher-priced , high quality salesmen serve you best , or can you make out better with a larger number of lower paid salesmen ?",Has your company developed selection and training processes that are geared to providing the caliber of salesmen you will need in the next 10 yr. ?,salesman,F
"He had on his gray tweed overcoat and his city hat , and his brief case lay on the bench .","How in the world had he formerly found time to build up a business , raise a family , be on half a dozen boards , work actively on committees and either go out in the evening or plow through the contents of a bulging brief case ?",briefcase,T
"The car lurched along at a snail 's crawl , the left front mudguard banging and scraping against the tire , occasionally scraping against the road itself .","A shot caught him and straightened him up in screaming pain ; a following volley of shots shattered glass , ripped the ceiling , and sent him lurching heavily from the table .",lurch,F
"The drive along Massachusetts ' Route 128 , the by-pass which makes an arc about twenty miles from downtown Boston , may be a vision of the future .","On May 19 , a deputy sheriff 's posse of eight men left Maxwell City and rode thirty-five miles up the Vermejo where they were joined by Juan Jose Martinez .",mile,T
"It is now disclosed that the taxpayer not only pays for high wages , but he pays the employers ' strike expenses when the latter undertakes to fight a strike .","In providing for these inner individual functions , religion undertakes in behalf of individual peace of mind and well-being services for which there is no other institution .",undertake,T
"The efforts and accomplishments fall into three main categories : absolute thermometry based upon the velocity of sound in helium gas , secondary thermometry involving principally studies of the behavior of germanium resistors , and helium 4 vapor-pressure measurements ( see p. 144 ) .",Carbon resistors and impurity doped germanium resistors have been investigated for use as precision secondary thermometers in the liquid helium temperature region .,germanium,F
Carrier * * f was added and the aqueous and organic phases were separated ( cells containing gaseous reactants were immersed in liquid air before opening under sodium iodide ) .,Following reaction the cells were scratched with a file and opened under a 20 % aqueous sodium iodide solution .,sodium_iodide,T
She was biting into a small red radish ; and that action always caused her to lift her lip from the sting of the thing .,"Thus Burns 's `` My love is like a red , red rose '' and Hopkins ' `` The thunder-purple sea beach , plumed purple of thunder '' although clearly intelligible in content , hardly present ideas of the sort with which we are here concerned .",red,T
"Henrietta was discovering in the process of writing , as the born writer does , not merely a channel for the discharge of accumulated information but a stimulus to the development of the creative powers of observation , insight and intuition .","Such an understanding , although it must seek to be sympathetic , is not a matter of intuition .",intuition,F
Somehow Dr. Charles Leale was forced through the mob and squeezed out into the dingy corridor .,"Maggie and Stuart pored over figures every night , trying to find how they could squeeze out a few pennies more .",squeeze_out,F
"I went to a retrospective of his work when I was eighteen , and I thought he was a contemporary of Cezanne 's '' .","After only eighteen years of non-interference , there were already indications of melioration , though `` in a slight degree '' , to be sure .",eighteen,T
We get some clue from a few remembrances of childhood and from the circumstance that we are probably not much more afraid of people now than man ever was .,Some clue to the character of London 's approach in these discs may be gained immediately from the fact that ten of the 12 titles include the word `` percussion '' or `` percussive '' .,clue,F
