,sent1,sent2,lemma,ground_truth
113,Please turn down the volume on the stereo .,The kids played their music at full volume .,volume,T
114,He removed the top of the carton .,He could n't get the top off of the bottle .,top,T
115,We had to stand for the entire performance !,There stood on the corner a statue .,stand,T
116,He took a deep breath and dived into the pool .,I could feel the runner 's breath on my shoulder .,breath,F
117,Take steps .,Take action .,take,T
118,What is all that stuff on your bedroom floor ?,You do n't have the stuff to be a United States Marine .,stuff,F
119,Raise a mutiny .,Raise the roof .,raise,F
120,We sat around the fire singing songs and telling stories .,Barbecue over an open fire .,fire,F
121,Start a new job .,I start my day with a good breakfast .,start,F
122,The sale will run for ten days .,The meeting ran late .,run,T
123,Do nothing .,A ' B ' grade does n't suffice to get me into medical school .,do,F
124,He was surprised by the absence of any explanation .,Absence makes the heart grow fonder .,absence,T
125,Cut a check .,Cut the rope .,cut,F
126,Ream oranges .,The dentist reamed out the debris in the course of the root canal treatment .,ream,F
127,Do n't run that software unless you have permission . ' .,Run rogue .,run,F
128,I will run the sample .,Our coach had us running plays for the whole practice .,run,T
129,May God keep you .,The student was kept after school .,keep,F
130,Work one 's way through the crowd .,She never worked because she inherited a lot of money .,work,F
131,Draw water for a bath .,Draw parallels .,draw,F
132,Clothes make the man .,He made to speak but said nothing in the end .,make,F
133,We 'll have to vote on whether or not to admit a new member .,He admitted his guilt .,admit,F
134,You ca n't take credit for this !,We took an apartment on a quiet street .,take,F
135,Make a mess in one 's office .,She 'll make a fine president .,make,F
136,I will stake my good reputation for this .,Stake your goat .,stake,F
137,He did n't make the choir after his voice changed .,You have to spend money to make money !,make,T
138,The machine is now in working order .,A friend in New Mexico said that the order caused no trouble out there .,order,F
139,The voting process does n't work as well as people thought .,This method does n't work .,work,T
140,There 's good stuff in that book .,The stuff of heros .,stuff,F
141,He resorted to the interception of his daughter 's letters .,He claimed that the interception of one missile by another would be impossible .,interception,T
142,Raise a smile .,Raise your ` o ' .,raise,F
143,If you were in my place what would you do ?,He has a special place in my thoughts .,place,F
144,Take steps .,Shall we take a guide in Rome ?,take,F
145,They say he gives good head .,The head of the list .,head,F
146,You look like someone drug you behind a horse for half a mile .,They drugged the kidnapped tourist .,drug,T
147,He overstepped his place .,He put the lamp back in its place .,place,F
148,Raise the question of promotions .,Raise from the dead .,raise,F
149,Fall by the wayside .,Christmas falls on a Monday this year .,fall,F
150,Keep my job for me while I give birth .,Keep a diary .,keep,F
151,In defense he said the other man started it .,The artillery battered down the defenses .,defense,F
152,We take all major credit cards .,Do you take sugar in your coffee ?,take,T
153,Give homage .,She gave herself to many men .,give,F
154,Check the brakes .,Check the oil in your car once a month .,check,T
155,The unlawful restraint of trade .,Restraints imposed on imports .,restraint,F
156,He can hold his liquor .,"To carry well , i.e. to hold the head high , with arching neck .",hold,F
157,Did you ever visit Paris ?,The principal visited his rage on the students .,visit,F
158,A nice line of shoes .,They were arrayed in line of battle .,line,F
159,What do you make of his remarks ?,Make a mistake .,make,F
160,Can you break a hundred-dollar bill for me ?,The wholesaler broke the container loads into palettes and boxes for local retailers .,break,T
161,Life has lost its point .,He broke the point of his pencil .,point,F
162,That store offers a variety of products .,That store offers a variety of products .,product,T
163,The grant does n't cover my salary .,The President covered the fact that he bugged the offices in the White House .,cover,F
164,Run a subject .,I 'm not ready to run a marathon .,run,F
165,I can not accept your invitation .,We accept the idea of universal health care .,accept,F
166,The piano had a very stiff action .,A rifle action .,action,T
167,Contact with the pier scraped paint from the hull .,The pilot made contact with the base .,contact,F
168,Put down 5 and carry 2 .,I am carrying his child .,carry,F
169,Would you please cut the cake ?,Cut a hole .,cut,F
170,Gather some stones .,Herman gathered the students together .,gather,T
171,To admit a serious thought into the mind .,This pipe admits air .,admit,T
172,It brought out his better side .,The Confederate side was prepared to attack .,side,F
173,Draw a weapon .,A ship draws ten feet of water .,draw,F
174,A wall of prejudice .,The container 's walls were blue .,wall,F
175,The airwaves carry the sound .,Sound carries well over water .,carry,T
176,These bonds carry warrants .,The dog was taught to fetch and carry .,carry,F
177,Turn the corner .,We turned from Socialism to Capitalism .,turn,F
178,The dog was taught to fetch and carry .,Carry a cause .,carry,F
179,Spokes radiate from the hub of the wheel .,The heat radiates from a stove .,radiate,F
180,Choke a carburetor .,The pirate choked the sailor to death .,choke,F
181,There is a lovely little church in the valley .,The church was empty .,church,T
182,Do you take me for a fool ?,I take it you 're not going ?,take,T
183,"Operator , could you connect me to the Raffles in Singapore ?",These computers connected well .,connect,F
184,The French doors give onto a terrace .,The wall gave in .,give,F
185,His gross income was enough that he had to file a tax return .,On his return from Australia we gave him a welcoming party .,return,F
186,He is out of action .,The piano had a very stiff action .,action,F
187,Tickets are $ 5 per head .,We will consider performance issues under the head of future improvements .,head,F
188,"On the one hand ... , but on the other hand ...",All hands on deck .,hand,F
189,The emerging buds were a sure sign of spring .,"You can visit me in the spring , when the weather is bearable .",spring,T
190,"The feeling is difficult to describe , but not unpleasant .",He described what we should do .,describe,T
191,Do you know my sister ?,I know him under a different name .,know,T
192,Turn your face to the wall .,The people turned against the President when he stole the election .,turn,F
193,He sailed around the world .,All the world loves a lover .,world,F
194,I ride to work in a bus .,She rode a wave of popularity .,ride,F
195,We take the Times every day .,Take action .,take,F
196,She was vice-presidential material .,He was university material .,material,T
197,This dough does not work easily .,Can you work an electric drill ?,work,F
198,Come into contact with a terrorist group .,Where did you come from ?,come,F
199,"In warfare , whoever opens fire first has a greater chance of victory .",Surrender fires the cold skepticism .,fire,F
200,Cover the grave with flowers .,She covered herself with glory .,cover,F
201,What is the point of discussing it ?,He stuck the point of the knife into a tree .,point,F
202,It was all done in play .,Rain stopped play in the 4th inning .,play,F
203,You take a chance when you let her drive .,We had the chance to meet the president last week .,chance,F
204,He swore as the ball rimmed the cup and rolled away .,He drank a cup of coffee .,cup,F
205,A drop of each sample was analyzed .,They expected the drop would be successful .,drop,F
206,Please focus on your studies and not on your hobbies .,Focus on passing the test .,focus,T
207,He broke the point of his pencil .,He stuck the point of the knife into a tree .,point,T
208,The collision of the two ships resulted in a serious oil spill .,Three passengers were killed in the collision .,collision,T
209,Do you take me for a fool ?,He was often taken to be a man of means .,take,T
210,Plug the wall .,He attempted to plug the leaks with some caulk .,plug,F
211,The sky is red this morning — does that mean we 're in for a storm ?,My ex-husband means nothing to me .,mean,F
212,It was several days after the storm before they could repair the washout and open the road .,From the house they watched the washout of their newly seeded lawn by the water .,washout,F
213,Nuts shell in falling .,Wheat or rye shells in reaping .,shell,T
214,Make lead into gold .,How much do you make a month in your new job ?,make,F
215,The crowd had to run away from the burning structure with only the clothes on their backs .,Who 's running for treasurer this year ?,run,F
216,Leave the flowers that you see in the park behind .,The wound I got in my car accident left behind a massive scar .,leave,T
217,How could you do such a thing ?,He has a thing about seafood .,thing,F
218,It can be tricky to land a helicopter .,Use the net to land the fish .,land,T
219,There was a tension in the air which made me suspect an approaching storm .,Open a window and let in some air .,air,T
220,Make a phone call .,They make a cute couple .,make,F
221,The house gets a percentage of every bet .,He has a house on Cape Cod .,house,F
222,He was mistreated while in police custody .,The suspect is in custody .,custody,F
223,"He is an intellectual giant , and I have great respect for him .",Be sure to give my respects to the dean .,respect,F
224,People knew how to stain glass a beautiful blue in the middle ages .,Stain this table a beautiful walnut color .,stain,T
225,The sale will run for ten days .,The book runs 655 pages .,run,T
226,Please strike this remark from the record .,We must strike the enemy 's oil fields .,strike,F
227,I used to take The Sunday Times .,You ca n't take credit for this !,take,F
228,We can not continue several servants any longer .,The bad weather continued for two more weeks .,continue,F
229,Play the stock market .,Play cards .,play,F
230,Sugar loaf .,A loaf of cheese .,loaf,T
231,You must carry your camping gear .,Amanda carried the package .,carry,T
232,The sum of all our troubles did not equal the misery they suffered .,The sum of forty pounds .,sum,F
233,He is blind -- he can not see .,I saw him laughing .,see,T
234,The temperature could hit 110 F tomorrow .,The movie hits theaters in December .,hit,T
235,She cut the deck for a long time .,Soap cuts grease .,cut,F
236,Mastering a second language requires a lot of work .,He arrived at work early today .,work,F
237,He recalled the experience vividly .,It was an experience he would not soon forget .,experience,T
238,I used to take The Sunday Times .,Take action .,take,F
239,Please focus on your studies and not on your hobbies .,We focused on it .,focus,T
240,A thread of smoke climbed upward .,From the air the road was a grey thread .,thread,T
241,She cut the deck for a long time .,Cut a disk .,cut,F
242,Come into contact with a terrorist group .,The shoes came untied .,come,T
243,Coordinate his actions with that of his colleagues .,"Coordinate the painters , masons , and plumbers .",coordinate,T
244,Your place or mine ?,If you were in my place what would you do ?,place,F
245,They set out on their return to the base camp .,I expect the house to be spotless upon my return .,return,T
246,There is a law against kidnapping .,"By law , one is not allowed to own a wallaby in New York City .",law,F
247,Wash in warm water and tumble dry .,They tumbled the teams with no apparent pattern .,tumble,F
248,Stream of consciousness .,Two streams of development run through American history .,stream,T
249,The play lasted two hours .,They made a futile play for power .,play,F
250,I give you credit for owning up to your mistake .,"He arrived five minutes late , but to his credit he did work an extra ten minutes at the end of his shift .",credit,T
251,He paid all his bills by check .,He asked the waiter for the check .,check,F
252,"Do n't drill here , there 's a gas pipe .",Drill a small hole to start the screw in the right direction .,drill,T
253,Increasing recognition that diabetes frequently coexists with other chronic diseases .,A sudden recognition of the problem he faced .,recognition,T
254,Can you remember her phone number ?,"I remember the concert clearly , but I ca n't recollect why I was there .",remember,T
255,Room to pass .,There was n't that much elbow room in the aircraft .,room,T
256,A disk drive contains a microprocessor to handle the internal functions of the drive .,A microprocessor functions as the central processing unit of a microcomputer .,microprocessor,T
257,It was a nice piece of work .,He needed a piece of granite .,piece,F
258,To move in a matter .,She moved the queen closer to the centre of the board .,move,F
259,Chief of Staff is the second-highest position in the army .,Atheists do not enjoy a favorable position in American life .,position,T
260,Let 's see -- which movie should we see tonight ?,How nice to see you again !,see,F
261,His horse won by a head .,He is two heads taller than his little sister .,head,T
262,To make like a deer caught in the headlights .,"He made as if to punch him , but they both laughed and shook hands .",make,T
263,Reduce an image .,Reduce one 's standard of living .,reduce,F
264,He could not work the math problem .,This unpleasant situation is n't going to work itself out .,work,T
265,Take an opportunity .,The escaped convict took to the hills .,take,F
266,You had better pack your swollen ankle with ice .,Pack the faucet .,pack,F
267,They admired his scrupulous professional integrity .,He expects to find in us the common honesty and integrity of men of business .,integrity,T
268,He wanted to feel a part of something bigger than himself .,The rear part of the house .,part,F
269,His voice had an edge to it .,She sat on the edge of the bed .,edge,F
270,I take aspirin every day to thin my blood .,Hitler took the Baltic Republics .,take,F
271,Tomorrow the doctor will take the cast off her arm .,Take the gun from your pocket .,take,T
272,You can create the color orange by mixing yellow and red .,The company was created 25 years ago .,create,T
273,I may be an hour .,When will the meeting be ?,be,F
274,The cooling touch of the night air .,This piano has a wonderful touch .,touch,F
275,That mechanic 's a bum - he could n't fix a yo-yo .,A lazy bum .,bum,T
276,Pull one 's horse to a stand .,Pull the ball .,pull,F
277,Did you catch a cold ?,The fashion did not catch .,catch,F
278,We had to see a psychiatrist .,He saw action in Viet Nam .,see,F
279,Make advances .,She 'll make a fine president .,make,F
280,A growing realization of the risk involved .,The victory was the realization of a whole year 's work .,realization,F
281,It is vital that he not know .,She knew of our plan .,know,T
282,He stuck his head out the window .,They tracked him back toward the head of the stream .,head,F
283,He longed for the touch of her hand .,This room needs a woman 's touch .,touch,F
284,Where do today 's public schools fail ?,The attempt to rescue the hostages failed miserably .,fail,T
285,Stick the corner of the sheet under the mattress .,The friends stuck together through the war .,stick,F
286,The young prince will soon occupy the throne .,He occupies two rooms on the top floor .,occupy,F
287,My students range from very bright to dull .,The instruments ranged from tuba to cymbals .,range,T
288,It 's your turn ; go .,"The gun went "" bang "" .",go,F
289,The practice of the law .,I took over his practice when he retired .,practice,T
290,Dress the windows .,Marlene dressed herself .,dress,F
291,They came together in a chance meeting on the way home from work .,Next year the meeting will be in Chicago .,meeting,T
292,Do n't feed him any more : he 's had his fill .,She had heard her fill of gossip .,fill,T
293,Polish your social manners .,He polished up the chrome until it gleamed .,polish,F
294,A cartilaginous style .,The anal styles of insects .,style,T
295,I like to treat myself to a day at a spa when I am depressed .,Grandmother always treated us to the circus .,treat,T
296,These luxuries all had to go under the Khmer Rouge .,This chair has got to go .,go,T
297,Return to your native land .,The professor returned to his teaching position after serving as Dean .,return,T
298,Give thought to .,I gave two sons to the war .,give,F
299,He did n't miss a single day of school .,He walked to school every morning .,school,F
300,After that day she never trusted him again .,I 've been here for 2 days and a bit .,day,T
301,Strike ` z ' on the keyboard .,The horse finally struck a pace .,strike,F
302,Make a cake .,He made twenty bucks playing poker last night .,make,F
303,Break a branch from a tree .,The business partners broke over a tax question .,break,F
304,The Academy of Music .,The American Academy of Arts and Sciences .,academy,F
305,I 've got to go to the head .,This song keeps going through my head .,head,F
306,Keep appointments .,We kept to the original conditions of the contract .,keep,T
307,They fought to regain the lost ground .,The worm crawls through the ground .,ground,F
308,They put out quite a spread .,The spread between lending and borrowing costs .,spread,F
309,Lob the tennis ball .,The guard lobbed a pass just over the defender .,lob,T
310,Draw a conclusion .,The doctors drew medical supplies from the hospital 's emergency bank .,draw,F
311,The hills around here fall towards the ocean .,His eyes fell .,fall,F
312,We do business all over the world .,He bought his brother 's business .,business,F
313,I envied his rapid buildup of assets .,A military buildup in preparation for the invasion .,buildup,T
314,The sole object of her trip was to see her children .,The object of the verb .,object,F
315,Catch one 's breath .,Catch some sleep .,catch,T
316,It was on the order of a mile .,Law and order .,order,F
317,The insurance will replace the lost income .,He replaced the old razor blade .,replace,T
318,His sour breath offended her .,The child 's breath came quickly and unevenly .,breath,F
319,Break the code .,Break a branch from a tree .,break,F
320,The horse will run the Preakness next year .,I 'm not ready to run a marathon .,run,T
321,His hand was illegible .,A good hand .,hand,T
322,He had an unruly shock of black hair .,The train hit the buffers with a great shock .,shock,F
323,He 's packin ' a piece !,He needed a piece of granite .,piece,F
324,Coordinate our efforts .,Coordinate his actions with that of his colleagues .,coordinate,T
325,Mr. Jones will assume the position of a lifeguard until a proper replacement is found .,The queen assumed the stately robes .,assume,F
326,Subjects received a small electric shock when they made the wrong response .,It came as a shock to learn that he was injured .,shock,F
327,The end of the year .,One end of the box was marked ` This side up ' .,end,F
328,This school is well-known for having teachers of high quality .,"Quality of life is usually determined by health , education , and income .",quality,T
329,Who cast this beautiful movie ?,Cast a vote .,cast,F
330,We 'll get them !,She did n't get the joke .,get,F
331,To hold true .,Hold that position behind the trees !,hold,F
332,Crime does n't pay .,It pays to go through the trouble .,pay,T
333,She had a smile on her face .,He always puts a smile on my face .,smile,T
334,It 's been an age since we last saw you .,It was replaced because of its age .,age,T
335,From the window he could catch a glimpse of the lake .,"I only got a glimpse of the car , so I can tell you the colour but not the registration number .",glimpse,F
336,Open a business .,The door opened .,open,F
337,That store offers a variety of products .,The product of 2 and 3 is 6 .,product,F
338,She brought a change in her overnight bag .,The product is undergoing a change in order to improve it .,change,F
339,Do n't lie to your parents .,The snow lies on the roof . ,lie,F
340,I demand an explanation .,This position demands a lot of personal sacrifice .,demand,F
341,He said that architecture is the art of wasting space beautifully .,How great thou art !,art,F
342,A dedicated line .,The letter consisted of three short lines .,line,F
343,Please check each name on the list .,She checked for an instant and missed a step .,check,F
344,A good lead for a job .,They did n't follow our lead .,lead,F
345,The operator could n't get Kobe because of the earthquake .,What did you get at the toy store ?,get,F
346,Roll your hair around your finger .,The thunder rolled .,roll,F
347,She threw the invitation away .,She was an invitation to trouble .,invitation,F
348,He cut a fine figure .,He cut a sorry figure standing there in the rain .,figure,T
349,This violinist is as good as Juilliard-trained violinists go .,It 's your turn ; go .,go,F
350,Humans have 22 chromosome pairs plus two sex chromosomes .,There have been documented cases of morphologically male transgenders having XX chromosomes .,chromosome,T
351,The Union action of emancipating Southern slaves .,Recent federal action undermined the segregationist position .,action,T
352,Drift the cattle herds westwards .,The balloon was drifting in the breeze .,drift,F
353,This old radio does n't work anymore .,This pilot works the controls .,work,F
354,The enemy fire is increasing – can we get some immediate coverage from those bunkers ?,There are overlapping coverages on your insurance policies .,coverage,T
355,Raise Cain .,Raise the roof .,raise,T
356,Lift an embargo .,Lift potatoes .,lift,F
357,The third link of the silver chain needs to be resoldered .,The chain of command .,chain,T
358,The number of parameters is small .,He had a number of chores to do .,number,T
359,I know that I left the key on the table .,Galileo knew that the earth moves around the sun .,know,T
360,Let 's crash the party !,The economy crashed .,crash,F
361,This is the one I ordered .,He is the best one .,one,T
362,If that happens it will be at some distance in the future .,At a distance of ten years he had forgotten many of the details .,distance,T
363,Rub oil into her skin .,The cat rubbed itself against my leg .,rub,T
364,Draw a conclusion .,I draw a line here .,draw,T
365,We had to dress quickly .,Marlene dressed the baby .,dress,T
366,The quality of students has risen .,"Quality of life is usually determined by health , education , and income .",quality,T
367,A cabbage patch .,Does n't that patch of clouds looks like a bunny ?,patch,F
368,The soccer player began to swing at the referee .,This action swung many votes over to his side .,swing,F
369,Gather some stones .,"If you want to emphasise the shape , it is possible to gather the waistline .",gather,F
370,The attraction of the book is precisely its narrowness of focus .,Frustrated by the narrowness of people 's horizons .,narrowness,T
371,In English the subject and the verb must agree in number .,I hope to become one of their number before I die .,number,F
372,You 'll pay for this !,You 'll pay for this opinion later .,pay,T
373,Rub my hands .,Rub oil into her skin .,rub,T
374,The defensive line braced to stop the run .,The team enjoyed a brief run of victories .,run,F
375,"Can he reach ? "" "" The chair must not touch the wall .",Their hands touched .,touch,F
376,Can you advance me some money ?,To advance one 's interests .,advance,F
377,Sculpture is a form of art .,"To apply for the position , complete the application form .",form,F
378,Messages must go through diplomatic channels .,The speech has to go through several more drafts .,go,F
379,His best finish in a major tournament was third .,It was a fight to the finish .,finish,F
380,A reduction in the assessment per head of sheep .,He was at the head of the column .,head,F
381,He dreamed of a home on the range .,They used to drive the cattle across the open range every spring .,range,T
382,Run a new program on the Mac .,Do n't run that software unless you have permission . ' .,run,T
383,They come from a faraway land .,He returned to the land of his birth .,land,F
384,Nobody can break out -- this prison is high security .,Three inmates broke jail .,break,T
385,Reduce a problem to a single question .,Reduce one 's standard of living .,reduce,F
386,The pilot had to bank the aircraft .,Bank a fire .,bank,F
387,I heard a splash when the rock landed in the pond .,He made a great splash and then disappeared .,splash,F
388,Check the time of the class .,Check the oil in your car once a month .,check,F
389,Give the orders .,The French doors give onto a terrace .,give,F
390,Develop land .,The country developed its natural resources .,develop,T
391,Please rearrange these files .,Rearrange the furniture in my room .,rearrange,T
392,Art does not need to be innovative to be good .,It 's quite an art .,art,F
393,I went to see my friend Mary the other day .,This program will be seen all over the world .,see,F
394,Show me where the business was today .,Business has been slow lately .,business,T
395,Put down 5 and carry 2 .,This paper carries a restaurant review .,carry,F
396,I really want to sing in the school choir . said Vera .,My brother sings very well .,sing,T
397,The job of repairing the engine took several hours .,I 've got a job for you - could you wash the dishes ?,job,T
398,Give a course .,She gave the boy a good spanking .,give,F
399,We had a wonderful time at the party .,I did n't have time to finish .,time,F
400,He looked for books with the word ` jazz ' in the title .,I can never remember movie titles .,title,T
401,Some parents exercise their infants .,This puzzle will exercise your mind .,exercise,T
402,These bonds carry warrants .,The restaurant carries an unusual name .,carry,T
403,He recorded the spoken language of the streets .,He uttered harsh language .,language,T
404,Track a missile .,I tracked prints .,track,F
405,Polish my shoes .,He polished up the chrome until it gleamed .,polish,T
406,This is a product of lime and nitric acid .,His reaction was the product of hunger and fatigue .,product,F
407,Come into the room .,The first success came three days later .,come,F
408,Check the brakes .,I will check up on the car tomorrow .,check,T
409,The control condition was inappropriate for the conclusions he wished to draw .,I turned the controls over to her .,control,F
410,Give priority to .,The French doors give onto a terrace .,give,F
411,He heard the phone ringing but did n't want to take the call .,He placed a phone call to London .,call,T
412,We must move quickly .,"Come on guys , let 's move : there 's work to do !",move,T
413,I know the feeling !,Have you ever known hunger ?,know,T
414,The consolidation of the United States ' hegemony over a new international economic system .,To say they have priority is not to say they have complete hegemony .,hegemony,T
415,Float the plaster .,The balloon floated off into the distance .,float,F
416,Make a move .,They make a cute couple .,make,F
417,Play a hooked fish .,He played $ 20 on the new horse .,play,F
418,Where did she get these news ?,You can not get water out of a stone .,get,T
419,His daily run keeps him fit .,He broke into a run .,run,T
420,"I know your mother , but I 've never met your father .",I know this voice !,know,T
421,I took over his practice when he retired .,It is not the local practice to wear shorts to dinner .,practice,F
422,"Inwardness is what an Englishman quite simply has , painlessly , as a birthright .","Socrates ' inwardness , integrity , and inquisitiveness""- H.R.Finch .",inwardness,F
