sent1,sent2,lemma,ground_truth
"Alimta is used in combination with cisplatin in patients who have not been treated before , and on its own in patients who have received another type of chemotherapy in the past .","It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy ( medicines used for the treatment of cancer , some of which are known to cause vomiting ) .",use,0
How is Alimta used ?,( ) : It is used to specify a higher priority .,use,0
How is Alimta used ?,: = : It is used to define a variable value .,use,0
How is Alimta used ?,It can be used to define a container .,use,0
How is Alimta used ?,"We can use plus() , times() and everything which has its operator .",use,0
How is Alimta used ?,What is Cerenia used for ?,use,0
How is Alimta used ?,"It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy ( medicines used for the treatment of cancer , some of which are known to cause vomiting ) .",use,0
( ) : It is used to specify a higher priority .,: = : It is used to define a variable value .,use,0
( ) : It is used to specify a higher priority .,It can be used to define a container .,use,0
( ) : It is used to specify a higher priority .,"We can use plus() , times() and everything which has its operator .",use,0
( ) : It is used to specify a higher priority .,What is Cerenia used for ?,use,0
( ) : It is used to specify a higher priority .,"It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy ( medicines used for the treatment of cancer , some of which are known to cause vomiting ) .",use,0
: = : It is used to define a variable value .,It can be used to define a container .,use,0
: = : It is used to define a variable value .,"We can use plus() , times() and everything which has its operator .",use,0
: = : It is used to define a variable value .,What is Cerenia used for ?,use,0
: = : It is used to define a variable value .,"It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy ( medicines used for the treatment of cancer , some of which are known to cause vomiting ) .",use,0
It can be used to define a container .,"We can use plus() , times() and everything which has its operator .",use,0
It can be used to define a container .,What is Cerenia used for ?,use,0
It can be used to define a container .,"It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy ( medicines used for the treatment of cancer , some of which are known to cause vomiting ) .",use,0
"We can use plus() , times() and everything which has its operator .",What is Cerenia used for ?,use,0
"We can use plus() , times() and everything which has its operator .","It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy ( medicines used for the treatment of cancer , some of which are known to cause vomiting ) .",use,0
What is Cerenia used for ?,"It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy ( medicines used for the treatment of cancer , some of which are known to cause vomiting ) .",use,0
It is given once every three weeks as an intravenous infusion lasting 10 minutes .,"When Alimta is given with cisplatin , an anti-emetic medicine ( to prevent vomiting ) and fluids ( to prevent dehydration ) should also be given before or after the cisplatin dose .",give,0
"Treatment should be delayed or discontinued , or the dose reduced , in patients whose blood counts are abnormal or who have certain other side effects .","For the treatment of malignant pleural mesothelioma , Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before .",treatment,0
"Treatment should be delayed or discontinued , or the dose reduced , in patients whose blood counts are abnormal or who have certain other side effects .","For the treatment of non-small cell lung cancer , the effects of Alimta were compared with those of docetaxel ( another anticancer medicine ) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past .",treatment,0
"Treatment should be delayed or discontinued , or the dose reduced , in patients whose blood counts are abnormal or who have certain other side effects .","In the treatment of patients with non-small cell lung cancer , Alimta was as effective as the comparators .",treatment,0
"Treatment should be delayed or discontinued , or the dose reduced , in patients whose blood counts are abnormal or who have certain other side effects .","The treatment of a vomiting dog should be started with the injection , since vomiting animals might not be able to keep a tablet down ( as they might throw the intact tablet up again ) .",treatment,0
"For the treatment of malignant pleural mesothelioma , Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before .","For the treatment of non-small cell lung cancer , the effects of Alimta were compared with those of docetaxel ( another anticancer medicine ) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past .",treatment,0
"For the treatment of malignant pleural mesothelioma , Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before .","In the treatment of patients with non-small cell lung cancer , Alimta was as effective as the comparators .",treatment,0
"For the treatment of malignant pleural mesothelioma , Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before .","The treatment of a vomiting dog should be started with the injection , since vomiting animals might not be able to keep a tablet down ( as they might throw the intact tablet up again ) .",treatment,0
"For the treatment of non-small cell lung cancer , the effects of Alimta were compared with those of docetaxel ( another anticancer medicine ) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past .","In the treatment of patients with non-small cell lung cancer , Alimta was as effective as the comparators .",treatment,0
"For the treatment of non-small cell lung cancer , the effects of Alimta were compared with those of docetaxel ( another anticancer medicine ) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past .","The treatment of a vomiting dog should be started with the injection , since vomiting animals might not be able to keep a tablet down ( as they might throw the intact tablet up again ) .",treatment,0
"In the treatment of patients with non-small cell lung cancer , Alimta was as effective as the comparators .","The treatment of a vomiting dog should be started with the injection , since vomiting animals might not be able to keep a tablet down ( as they might throw the intact tablet up again ) .",treatment,0
Alimta is not recommended for use in patients with moderate or severe kidney problems .,It does not matter what kind it is .,not,0
Alimta is not recommended for use in patients with moderate or severe kidney problems .,Cerenia does not represent a particular risk for people .,not,0
It does not matter what kind it is .,Cerenia does not represent a particular risk for people .,not,0
How has Alimta been studied ?,"In all three studies , the main measure of effectiveness was how long the patients survived .",study,0
How has Alimta been studied ?,The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries .,study,0
How has Alimta been studied ?,How has Cerenia been studied ?,study,0
"In all three studies , the main measure of effectiveness was how long the patients survived .",The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries .,study,0
"In all three studies , the main measure of effectiveness was how long the patients survived .",How has Cerenia been studied ?,study,0
The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries .,How has Cerenia been studied ?,study,0
"Alimta was also compared with gemcitabine ( another anticancer medicine ) , both in combination with cisplatin , in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past .",Also it is possible to use the unicode ² characters .,also,0
"Alimta was also compared with gemcitabine ( another anticancer medicine ) , both in combination with cisplatin , in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past .","Also , the treatment of vomiting should only be together with other supportive measure or other veterinary therapy while addressing the underlying causes of the vomiting .",also,0
Also it is possible to use the unicode ² characters .,"Also , the treatment of vomiting should only be together with other supportive measure or other veterinary therapy while addressing the underlying causes of the vomiting .",also,0
What benefit has Alimta shown during the studies ?,What benefit has Cerenia shown during the studies ?,benefit,0
"Patients receiving Alimta and cisplatin survived for an average of 12.1 months , compared with 9.3 months in those receiving cisplatin alone .","In patients who had received chemotherapy in the past , the average survival time was 8.3 months with Alimta , compared with 7.9 months with docetaxel .",patient,0
"Patients receiving Alimta and cisplatin survived for an average of 12.1 months , compared with 9.3 months in those receiving cisplatin alone .","In patients who had not received chemotherapy in the past , the average survival time was 10.3 months in both groups .",patient,0
"In patients who had received chemotherapy in the past , the average survival time was 8.3 months with Alimta , compared with 7.9 months with docetaxel .","In patients who had not received chemotherapy in the past , the average survival time was 10.3 months in both groups .",patient,0
kalgebra is a MathML based graph calculator .,"I have based the syntax basically on common sense , it should not be hard for anyone .",base,0
kalgebra main window,"kalgebra main window consists in a Console tab , a 2D Graph tab , a 3D Graph tab and a Dictionary tab .",main,0
"^ , ** : Power , you can use them both .",Powers are one way to make roots too .,power,0
-gt : It s the way to specify the bounded variable in a function .,Piecewise is the way we can define conditional operations in kalgebra .,way,0
Ctrl G Save Script,Saves the instructions you have typed since the session began to be able to reuse .,save,0
Ctrl G Save Script,Ctrl S Save Log,save,0
Ctrl G Save Script,Saves the log with all results into an HTML file to be able to print or publish .,save,0
Saves the instructions you have typed since the session began to be able to reuse .,Ctrl S Save Log,save,0
Saves the instructions you have typed since the session began to be able to reuse .,Saves the log with all results into an HTML file to be able to print or publish .,save,0
Ctrl S Save Log,Saves the log with all results into an HTML file to be able to print or publish .,save,0
You can set several graphs on the same view .,You can set each graph its own color .,set,0
The Foundation has recently been involved in organising a conference which dealt with this critical challenge .,"The Foundation organised , together with the European Commission , the Spanish Ministry of Social Affairs and the Galician regional government , a European conference on social exclusion : a major challenge for public welfare services .",foundation,0
The Foundation has recently been involved in organising a conference which dealt with this critical challenge .,The Foundation recently published a comparative study as part of the EPOC project which assesses the extent to which direct participation can humanise work while increasing profitability .,foundation,0
The Foundation has recently been involved in organising a conference which dealt with this critical challenge .,The Foundation aims to document the characteristics of age barriers in job recruitment and training and to analyse their causes .,foundation,0
"The Foundation organised , together with the European Commission , the Spanish Ministry of Social Affairs and the Galician regional government , a European conference on social exclusion : a major challenge for public welfare services .",The Foundation recently published a comparative study as part of the EPOC project which assesses the extent to which direct participation can humanise work while increasing profitability .,foundation,0
"The Foundation organised , together with the European Commission , the Spanish Ministry of Social Affairs and the Galician regional government , a European conference on social exclusion : a major challenge for public welfare services .",The Foundation aims to document the characteristics of age barriers in job recruitment and training and to analyse their causes .,foundation,0
The Foundation recently published a comparative study as part of the EPOC project which assesses the extent to which direct participation can humanise work while increasing profitability .,The Foundation aims to document the characteristics of age barriers in job recruitment and training and to analyse their causes .,foundation,0
"Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment , training and development of ageing workers in both the work place and the community .","These case studies analysed the background of the initiatives , their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative .",case_study,0
The tablets are pale-orange and have a score line on both sides so that they can be halved .,Each tablet is marked with the Pfizer logo on one side and with the letters MPT and the quantity of maropitant on the other side .,tablet,0
